,ix,omental,size_at_met,beta_pt,beta_met,time_to_met,time_to_ca125,time_to_US,met_size_at_ca125,met_size_at_US
6824,6824,False,3.67071643,0.0033594682063229314,0.0012380581495077027,416.4768731778634,247.84328972442617,343.8718440200281,1.2681369657784895e-12,6.70637696113891e-11
6825,6825,True,0.388565349,0.019986919456188128,0.005222485697967755,58.342655549650146,42.82778689512089,59.77218587738436,8.476489070950188e-11,1.2429501226895017e-09
6826,6826,False,3.87580839,0.006677898980305443,0.002045938216771905,210.65050271015616,124.6831757166846,172.99251313054202,3.987081961840443e-12,1.0015819355804105e-10
6827,6827,False,1.04536906,0.003938787101956668,0.004631317878011054,314.48502559723596,211.39036724428996,293.294990851636,2.3133070814133178e-17,5.169214109148133e-11
6828,6828,False,0.000749423904,0.003391219166709303,0.0026415545698374172,183.13164592547437,245.52280788965749,340.6522758468324,7.867465312095941e-08,1.7661522830557998e-05
6829,6829,False,0.000749423904,0.005140606872496486,0.0152598617652031,120.81055079628925,161.96952473343637,224.725709568586,0.000659385499473019,8.352784599455598
6830,6830,False,0.388565349,0.0008848161521579165,0.014393734998615513,1275.0875698923883,941.0109093839094,1305.6119333010831,0.0,2.730567997994268e-05
6831,6831,True,6.58634689e-07,0.0020153403116463793,0.0045767319226172574,127.05582606280136,424.7399420400059,592.7841853546009,2.802346426676457,155.64730767188155
6832,6832,False,0.0836070562,0.006144935800123588,0.008574972124485884,159.11725051716147,135.49720925692125,187.99651690611455,1.5803559499013555e-12,5.457064965278328e-07
6833,6833,True,1.04536906,0.0018103863989482475,0.000968141290385654,708.8261342229933,472.82476694304876,659.8933053991296,5.498943267029376e-13,2.420597556151577e-10
6834,6834,False,1.04536906,0.0014138420107849842,0.007247172612047419,876.1159684971933,588.9071378756173,817.0831805977567,2.8792168495130883e-97,2.1793420788724238e-16
6835,6835,False,0.0836070562,0.00849858457729649,0.0007660598492750018,115.05036870871253,97.97180276395629,135.9316385602666,6.849939781293518e-10,1.5776110864144314e-09
6836,6836,False,3.87580839,0.0015353318919269126,0.011422156242907117,916.2206456113564,542.3072733379581,752.4278842309853,0.0,2.829314612967873e-78
6837,6837,True,3.87580839,0.0017393104519866783,0.00693116437188633,841.1779984369874,492.1464860869626,686.8594755392965,1.0071341107897301e-139,4.911321050045528e-34
6838,6838,True,1.22672942,0.007489495689162948,0.003505923859936631,174.05003111520483,114.29281258525425,159.51165665002284,1.0972204917616948e-12,2.1674457974681912e-10
6839,6839,True,0.0139645166,0.001607979063459638,0.00757202175943031,528.7086147856785,532.3424580652551,742.958594424245,2.211340321416795e-09,15.547038738501133
6840,6840,True,1.22672942,0.009858080777613467,0.0010925147233555575,132.23131227492112,86.83186377448183,121.18604947572777,2.2607609025330578e-10,7.01183668049203e-10
6841,6841,False,2.45892441,0.002292675572717268,0.0029809694761769646,586.6984256115551,363.1659280047519,503.87701634808883,1.5235564362653795e-21,3.205963856756145e-13
6842,6842,False,3.67071643,0.0035521989186500036,0.00463386673293158,393.88019819609553,234.3961222464778,325.21448080220716,2.2453681494821712e-23,2.1166133492536065e-14
6843,6843,False,3.87580839,0.0033033549403519618,0.0007278771525835952,425.84063857791244,252.05334183403843,349.7131092161223,2.077430381071791e-11,1.945854153725094e-10
6844,6844,False,0.000749423904,0.0016021499737284976,0.0026683163196384017,387.62884740947015,519.6902073043942,721.047683411621,5.076410425544609e-06,0.022470499196298187
6845,6845,False,3.99019334,0.0016664090728883106,0.005722331194088834,846.5939697035341,499.65021525989874,693.2430612806382,4.225271940107311e-88,2.9539375908417155e-27
6846,6846,False,0.388565349,0.003114636013906052,0.008053722884119381,362.23111535966535,267.32550714184583,370.9025779825097,4.802372403629311e-24,6.944493205061859e-09
6847,6847,False,1.22672942,0.0006796468608503386,0.00937696710591272,1850.596110119141,1225.079817094954,1699.7452553368137,0.0,1.3793943004439183e-48
6848,6848,False,0.388565349,0.04138422328609375,0.002742218659825235,27.26203339511954,20.11930117000593,27.914660112108734,5.665031644396181e-10,1.0527121866541574e-09
6849,6849,True,2.45892441,0.0015068081227347754,0.003924950918710087,927.0583524883591,568.0852885276361,792.842729493215,5.483471043915375e-49,1.5610939683310834e-18
6850,6850,False,6.58634689e-07,0.0016360231771690762,0.003934421689943286,153.40579816999485,508.9302300841699,706.1186804418571,2.49203637104592,114.56693771726768
6851,6851,False,0.0139645166,0.00214857233308981,0.002072621913539487,384.9126007137953,387.5232121146787,537.6716944751956,1.167693925252548e-09,2.4328877937296754e-06
6852,6852,False,1.04536906,0.0005369775635810395,0.0037368726273023763,2306.780853785086,1550.5706540642739,2151.349712510993,8.314060455900662e-208,1.493069678830843e-19
6853,6853,True,1.22672942,0.009418092310976605,0.005944325004169394,138.40881090289855,90.88841974525182,126.84754251763185,7.160098778497492e-14,1.2490774232986292e-10
6854,6854,False,3.99019334,0.006828410420281224,0.0017375574013030186,206.60326274125725,121.93491614193302,169.17942184666535,1.05322253478722e-11,1.451114086170942e-10
6855,6855,False,3.87580839,0.0019050709779389052,0.0006857811114024069,738.3991428869971,437.0554491783321,606.3955308818789,1.3669756175548397e-12,6.573532455322539e-11
